Manufacturer,Name,Speed,Glide,Turn,Fade,Diameter,Height,RimDepth,RimWidth
Above-Ground-Level,Beech,11.5,5.0,-3.0,2.0,21.9,1.8,1.3,1.6
Above-Ground-Level,Cedar,11.0,4.9,0.0,3.1,21.5,1.7,1.1,2.2
Above-Ground-Level,Cypress,12.0,4.8,-1.5,2.2,21.2,1.5,1.1,2.2
Above-Ground-Level,Locust,9.0,4.0,-1.0,3.0,21.2,1.6,1.1,2.0
Above-Ground-Level,Sycamore,7.0,4.9,0.0,1.0,21.2,2.2,1.3,1.7
Above-Ground-Level,Magnolia,5.0,4.1,0.0,1.9,21.8,2.0,1.2,1.4
Above-Ground-Level,Baobab,4.0,1.0,1.0,3.0,21.3,1.7,1.3,1.1
Above-Ground-Level,Madrone,3.0,3.0,0.0,1.1,21.0,2.2,1.7,1.0
Above-Ground-Level,Manzanita,2.9,2.8,0.0,1.9,21.0,1.1,1.6,1.1
Above-Ground-Level,Ponderosa,2.0,4.0,-1.1,0.0,21.1,2.1,1.5,1.0
Alfa-Discs,Apollo,5.0,5.0,0.4,1.0,21.8,1.8,1.3,1.3
AquaFlight,Osprey,12.0,4.0,-1.0,2.0,21.0,1.6,1.2,2.3
AquaFlight,Pelican,6.0,5.0,-3.0,1.0,21.1,2.0,1.2,1.7
AquaFlight,Swift,8.4,5.0,-2.6,1.1,21.0,1.6,1.1,1.9
AquaFlight,Dragonfly,5.0,4.0,-3.0,1.0,21.0,1.6,1.1,1.4
AquaFlight,Peace Frog,3.0,3.0,0.0,1.0,21.0,2.2,1.6,1.0
Axiom,Defy,11.2,4.2,-0.2,3.0,21.1,1.5,1.1,2.2
Axiom,Delirium,14.4,4.9,-0.5,3.0,21.1,1.8,1.2,2.5
Axiom,Excite,14.0,5.3,-2.2,2.0,21.1,2.1,1.2,2.5
Axiom,Fireball,9.7,3.0,-0.1,3.7,21.0,1.4,1.1,2.0
Axiom,Mayhem,13.0,5.0,-1.6,2.0,21.1,1.9,1.2,2.4
Axiom,Panic,13.0,4.2,-0.4,3.1,21.1,1.7,1.2,2.3
Axiom,Tantrum,14.0,5.0,-1.5,2.6,21.1,1.9,1.2,2.5
Axiom,Tenacity,13.0,5.0,-2.5,2.0,21.1,1.9,1.2,2.4
Axiom,Thrill,11.0,3.9,0.0,3.1,21.1,1.5,1.1,2.2
Axiom,Vanish,11.5,5.0,-2.7,1.9,21.1,1.5,1.1,2.2
Axiom,Virus,9.6,5.0,-3.4,1.0,21.1,1.4,1.2,2.0
Axiom,Clash,7.0,4.5,-0.9,2.5,21.1,1.4,1.1,1.8
Axiom,Crave,6.6,5.0,-0.9,1.2,21.1,1.4,1.2,1.8
Axiom,Insanity,9.8,4.9,-2.0,1.4,21.1,1.4,1.2,2.0
Axiom,Inspire,6.5,4.5,-1.8,1.6,21.1,1.5,1.2,1.8
Axiom,Rhythm,1.0,1.0,0.0,0.0,21.2,1.5,1.2,1.8
Axiom,Wrath,10.1,4.3,-0.9,2.1,21.0,1.4,1.2,2.0
Axiom,Alias,4.2,4.2,-0.9,1.0,21.5,1.9,1.2,1.2
Axiom,Hex,5.0,5.0,-0.8,1.0,21.4,1.6,1.3,1.4
Axiom,Paradox,5.0,4.0,-3.7,0.0,21.5,1.8,1.3,1.3
Axiom,Pyro,5.1,3.8,0.0,2.7,21.5,1.6,1.3,1.6
Axiom,Theory,4.6,4.6,-1.8,0.7,21.5,1.9,1.3,1.2
Axiom,Envy,2.8,3.1,-0.1,1.9,21.0,1.8,1.4,1.1
Axiom,Proxy,3.0,3.2,-0.8,0.6,21.0,1.8,1.5,1.1
Cheengz,I One,4.9,5.0,0.0,0.0,22.1,2.0,1.4,0.9
Cheengz,Zingback,2.0,3.0,-0.2,0.0,22.3,2.8,1.7,0.7
DGA,Hurricane,12.0,4.8,-0.9,2.3,21.2,1.6,1.2,2.3
DGA,Hypercane,12.9,4.0,0.0,4.0,21.2,1.6,1.2,2.2
DGA,Riptide,9.0,4.0,0.0,3.0,21.4,1.7,1.2,2.0
DGA,Rogue,11.0,4.0,-1.0,2.0,21.1,1.7,1.2,2.2
DGA,Sail,10.4,6.2,-3.4,1.0,21.0,1.9,1.1,1.9
DGA,Tempest,12.9,5.1,-3.0,2.0,21.1,1.7,1.1,2.3
DGA,Torrent,13.9,5.0,-1.0,2.1,21.0,1.5,1.2,2.4
DGA,Tsunami,9.9,3.1,0.0,3.8,21.2,1.8,1.2,1.9
DGA,Undertow,10.0,4.1,-1.0,1.1,21.2,1.5,1.2,1.8
DGA,Banzai,8.1,4.1,0.0,2.9,21.4,1.7,1.2,1.9
DGA,Flathead Cyclone,7.0,4.0,-1.0,3.0,21.3,1.8,1.2,1.6
DGA,Hellfire,10.1,3.1,0.0,4.8,21.1,1.6,1.2,2.2
DGA,Pipeline,8.1,5.0,-0.4,1.9,21.4,1.5,1.1,1.8
DGA,Aftershock,4.0,3.1,-0.2,2.0,21.5,2.0,1.2,1.3
DGA,Quake,5.0,3.2,0.0,3.1,21.6,1.7,1.2,1.5
DGA,Rift,5.0,4.2,-0.9,1.5,21.6,1.8,1.3,1.5
DGA,Shockwave,4.0,2.0,0.0,3.0,21.5,2.2,1.3,1.3
DGA,Squall,5.9,4.1,-1.0,1.0,21.5,1.8,1.3,1.3
DGA,Tremor,6.0,5.0,-3.9,1.0,21.6,1.7,5.1,1.1
DGA,Blowfly I,2.0,2.1,-0.9,1.8,21.5,2.7,1.1,1.5
DGA,Blowfly II,3.0,2.0,-1.0,1.0,21.7,2.3,1.7,1.4
DGA,Blunt Gumbputt,2.0,2.1,0.0,1.9,21.7,2.2,1.9,0.7
DGA,Breaker,3.8,3.0,0.0,2.9,21.0,1.7,1.2,1.0
DGA,PowerDrive Gumbputt,2.0,2.1,-2.0,1.1,21.7,2.2,1.9,0.7
DGA,Reef,2.0,2.1,-1.1,1.0,21.2,2.1,1.4,0.9
DGA,Steady,2.1,3.1,0.0,1.0,21.2,2.0,1.4,1.0
DGA,Steady BL,2.0,4.0,0.0,1.9,21.2,2.4,1.5,1.0
DGA,Titanic,2.0,2.0,0.0,2.0,21.1,2.2,1.5,1.0
Daredevil,Albatross,14.0,5.3,-1.4,3.6,21.2,1.6,1.1,2.3
Daredevil,Big Foot,13.0,4.9,-1.9,2.1,21.1,1.6,1.1,2.5
Daredevil,Buffalo,9.0,4.0,-1.0,5.0,21.2,1.6,1.2,2.0
Daredevil,Gray Jay,14.0,4.0,-0.1,4.9,21.0,1.4,1.1,2.3
Daredevil,Mammoth,9.0,4.0,-1.1,4.6,21.1,1.7,1.2,2.0
Daredevil,Merlin,13.8,4.0,-1.0,4.8,21.0,1.7,1.1,2.3
Daredevil,Ogopogo,9.0,4.0,-2.0,4.7,21.1,1.5,1.5,2.0
Daredevil,Sasquatch,12.0,5.0,-5.0,1.0,21.0,1.7,1.1,2.5
Daredevil,Yeti,13.0,5.1,-2.8,1.1,21.1,1.6,1.1,2.5
Daredevil,Sabertooth,9.0,3.9,-0.2,4.9,21.0,1.8,1.2,2.0
Daredevil,Swift Fox,7.2,5.0,-3.0,1.0,21.1,1.7,1.2,1.8
Daredevil,Timberwolf,8.1,5.1,-1.0,1.0,21.1,1.6,1.2,1.8
Daredevil,Wolverine,8.1,4.9,-2.0,2.0,21.2,1.8,1.2,1.8
Daredevil,Caribou,4.0,5.0,-2.8,1.0,21.8,2.1,1.3,1.3
Daredevil,Grizzly,4.1,4.0,-1.0,2.0,21.9,2.0,1.3,1.3
Daredevil,Moose,4.0,5.0,0.0,2.0,21.8,2.1,1.3,1.3
Daredevil,Pteranodon,4.0,6.0,-2.0,1.0,21.6,2.3,1.2,1.4
Daredevil,Walrus,4.0,5.0,0.0,3.0,21.8,1.9,1.2,1.3
Daredevil,Beaver,2.0,3.0,0.0,1.0,21.2,2.2,1.6,0.9
Daredevil,Bighorn,2.1,3.0,0.0,1.0,21.2,2.2,1.6,1.6
Daredevil,Great Horned Owl,2.0,3.0,0.0,1.0,21.2,2.2,1.4,1.0
Daredevil,Polar Bear,2.1,3.1,-0.8,1.0,21.2,2.0,1.5,1.0
Daredevil,Woodchuck,2.0,3.0,-1.0,0.2,21.3,1.7,1.3,1.7
Dino-Discs,Allosaurus,12.0,6.0,-2.0,1.0,21.2,1.9,1.1,2.2
Dino-Discs,Pterodactylus,10.0,5.0,-3.3,1.1,21.1,2.0,1.1,1.9
Dino-Discs,Tyrannosaurus Rex,14.0,5.0,-3.0,2.0,21.1,1.6,1.1,2.5
Dino-Discs,Spinosaurus,9.0,6.0,-2.0,1.0,21.2,1.4,1.1,2.0
Dino-Discs,Brachiosaurus,6.0,5.0,-4.5,1.0,21.9,2.0,1.4,1.3
Dino-Discs,Brontosaurus,5.0,5.0,-1.0,0.5,22.1,1.7,1.3,1.3
Dino-Discs,Diplodocus,5.0,5.0,-2.0,0.0,21.8,1.9,1.1,1.5
Dino-Discs,Stegosaurus,4.0,5.0,-3.8,1.9,21.8,2.0,1.4,1.2
Dino-Discs,Ankylosaurus,2.0,3.0,-1.0,0.0,21.0,2.1,1.5,1.0
Dino-Discs,Triceratops,3.0,3.0,-3.0,1.0,21.0,2.2,1.0,1.0
Disc-Golf-UK,The Count,7.0,4.0,-1.0,2.8,21.5,1.7,1.1,1.7
Disc-Golf-UK,The Baron,4.0,3.0,0.0,2.5,21.2,2.0,1.1,1.6
Disc-Golf-UK,The Duchess,5.0,4.0,-2.0,2.0,21.3,1.7,1.1,1.8
Disc-Golf-UK,The Duke,6.0,4.0,0.0,3.5,21.5,1.9,1.4,1.7
Discmania,Astronaut,12.0,6.0,-3.8,1.0,21.2,1.8,1.1,2.3
Discmania,CD,10.0,4.8,-0.9,2.0,21.2,1.3,1.1,1.9
Discmania,CD3,10.9,5.0,-1.0,2.1,21.1,2.0,1.2,2.1
Discmania,DD,11.1,4.8,0.0,2.1,21.1,1.6,1.2,2.2
Discmania,DD2,12.9,4.9,-2.0,2.0,21.2,1.5,1.1,2.5
Discmania,DD3,12.0,5.0,-1.0,3.0,21.0,1.8,1.2,2.4
Discmania,DDx,12.0,5.8,-1.1,2.0,21.1,1.7,1.1,2.3
Discmania,Enigma,12.1,5.1,-1.1,2.1,21.1,1.7,1.1,2.3
Discmania,Majesty,13.0,5.0,-1.8,2.2,21.0,1.7,1.2,2.4
Discmania,Mentor,11.0,5.0,-1.7,2.0,21.0,1.7,1.1,2.1
Discmania,PD,9.9,4.1,0.0,3.0,21.1,1.7,1.2,1.9
Discmania,PD2,12.0,4.1,0.0,4.0,21.1,1.9,1.2,2.4
Discmania,PD3,11.0,3.0,-0.1,5.0,21.2,1.6,1.2,2.3
Discmania,PDx,10.9,4.0,-0.1,3.0,21.1,1.9,1.2,2.1
Discmania,TD,10.0,5.8,-1.8,1.1,21.2,1.6,1.1,1.9
Discmania,TD2 Fever,9.9,5.1,-3.7,1.1,21.1,1.6,1.1,2.1
Discmania,TDx,9.0,5.0,-2.8,1.1,21.1,1.5,1.2,2.0
Discmania,CD2,9.1,5.0,-1.0,2.0,21.1,1.9,1.1,1.9
Discmania,Essence,8.0,6.0,-2.0,1.1,21.0,1.8,1.2,1.8
Discmania,FD,7.0,5.9,-1.0,1.1,21.2,1.8,1.1,1.8
Discmania,FD2,7.0,4.1,0.0,2.1,21.2,1.6,1.1,1.8
Discmania,FD3,9.0,4.1,0.0,3.0,21.2,1.7,1.1,2.0
Discmania,Genius,7.2,4.9,-3.9,1.0,21.3,1.8,1.2,1.9
Discmania,Instinct,7.1,5.2,-0.2,2.0,21.2,1.8,1.1,1.7
Discmania,Magician,6.1,4.0,0.0,2.0,21.0,1.5,1.1,1.6
Discmania,Rockstar,8.1,5.0,-1.5,1.4,21.3,1.7,1.2,1.9
Discmania,Splice,1.0,1.0,0.0,0.0,21.2,1.5,1.1,1.9
Discmania,Tilt,9.0,1.0,0.9,6.0,21.1,1.6,1.2,2.0
Discmania,Gremlin GM,5.1,4.0,0.0,2.0,21.2,1.8,1.2,1.4
Discmania,Logic,3.0,3.0,0.0,1.0,21.2,1.9,1.3,1.1
Discmania,Maestro,4.0,2.9,-0.1,1.9,21.3,1.7,1.3,1.0
Discmania,MD,4.0,5.1,-0.1,0.1,21.8,2.1,1.4,1.4
Discmania,MD1,4.0,4.0,0.0,2.0,21.7,2.2,1.3,1.3
Discmania,MD2,4.0,5.0,-0.2,1.9,21.7,2.0,1.4,1.4
Discmania,MD3,5.0,5.0,-0.1,2.4,21.8,1.9,1.3,1.4
Discmania,MD4,5.0,4.1,-0.1,2.9,21.7,1.6,1.4,1.4
Discmania,MD5,5.0,3.1,0.0,4.0,21.0,1.9,1.3,1.4
Discmania,Method,5.0,5.0,-0.1,2.8,21.9,2.1,1.3,1.3
Discmania,Mutant,5.0,3.0,0.0,4.0,21.7,1.8,1.2,1.3
Discmania,Origin,5.0,5.2,-1.4,0.9,21.4,1.6,1.2,1.3
Discmania,Link,2.0,3.0,0.0,1.0,21.2,2.0,1.5,1.1
Discmania,P1,2.1,3.1,-0.1,0.1,21.2,2.0,1.5,0.9
Discmania,P1X,2.1,3.0,-0.1,0.5,21.2,2.0,1.4,1.0
Discmania,P2,2.0,3.1,0.0,1.2,21.2,2.1,1.5,1.0
Discmania,P3,3.0,4.3,0.0,2.7,21.2,2.0,1.2,1.0
Discmania,P3x,3.0,2.2,0.0,2.6,21.2,1.9,1.6,1.1
Discmania,Razor Claw Tactic,4.0,2.0,0.0,4.0,21.3,2.0,1.4,1.1
Discmania,Sensei,2.9,3.0,0.0,1.0,21.1,1.8,1.5,0.9
Discmania,Shogun,2.0,4.0,0.1,1.9,21.2,2.4,1.5,1.0
Discmania,Tactic,4.0,2.1,0.0,2.9,21.4,1.8,1.4,1.1
Discraft,Avenger,9.9,4.8,0.0,2.9,21.2,1.7,1.2,1.9
Discraft,Avenger SS,9.8,4.9,-2.9,1.0,21.4,1.8,1.2,1.9
Discraft,Crank,12.4,5.0,-1.4,2.0,21.2,1.5,1.1,2.3
Discraft,Crank SS,12.6,4.7,-2.8,1.8,21.1,1.5,1.1,2.4
Discraft,Crush,11.1,5.0,-0.1,3.9,21.1,1.7,1.2,2.1
Discraft,Flash,10.0,5.0,-1.9,2.9,21.1,1.6,1.2,2.1
Discraft,Flick,10.1,3.4,0.9,4.4,21.1,1.3,1.1,2.1
Discraft,Force,12.0,4.9,0.0,3.1,21.1,1.7,1.2,2.3
Discraft,Hades,11.9,6.0,-3.0,1.9,21.0,1.6,1.1,2.3
Discraft,Machete,10.6,3.7,0.2,3.9,21.1,1.6,1.1,2.1
Discraft,Nuke,13.0,4.9,-1.0,3.0,21.2,1.6,1.2,2.5
Discraft,Nuke OS,13.0,4.0,0.0,4.1,21.2,1.6,1.2,2.5
Discraft,Nuke SS,13.0,5.0,-3.0,2.9,21.2,1.5,1.1,2.5
Discraft,Pulse,10.9,3.9,0.0,3.0,21.2,1.7,1.3,2.1
Discraft,Punisher,11.9,4.9,-0.3,2.9,21.1,1.5,1.1,2.2
Discraft,Scorch,11.0,6.0,-2.0,2.0,21.1,1.8,1.1,2.2
Discraft,Spectra,11.8,4.9,-2.0,2.0,21.4,1.9,1.2,2.2
Discraft,Surge,11.0,5.0,-1.0,2.9,21.1,1.6,1.2,2.2
Discraft,Surge SS,11.0,4.9,-1.1,2.0,21.1,1.6,1.2,2.1
Discraft,Thrasher,11.9,5.0,-2.8,1.9,21.1,1.7,1.1,2.1
Discraft,Venom,12.0,4.1,-0.1,3.9,21.0,1.6,1.2,2.2
Discraft,Wildcat,11.0,5.0,-2.0,3.0,21.3,1.5,1.2,1.9
Discraft,Zeus,12.0,5.0,-1.0,3.0,21.1,1.6,1.2,2.3
Discraft,Anax,10.0,5.8,-0.1,2.8,21.4,1.7,1.2,1.9
Discraft,Cyclone,7.0,4.2,-1.0,2.8,21.3,1.8,1.2,1.6
Discraft,Eclipse,6.8,5.0,-2.0,1.9,22.0,1.6,1.2,1.4
Discraft,Heat,9.0,5.7,-2.9,1.0,21.1,2.1,1.2,1.9
Discraft,Mantis,8.0,4.5,-1.5,1.9,21.2,1.9,1.1,1.9
Discraft,Passion,8.0,5.0,-1.0,1.0,21.6,1.6,1.2,1.7
Discraft,Predator,9.0,4.0,-0.1,4.0,21.2,1.9,1.1,1.9
Discraft,Raptor,9.0,4.0,-0.1,3.0,21.3,1.9,1.1,1.9
Discraft,Reaper,8.0,3.2,-0.1,3.7,21.4,1.5,1.2,1.8
Discraft,Stalker,7.2,4.9,-1.0,1.7,21.6,1.6,1.2,1.6
Discraft,Sting,6.8,4.9,-2.2,0.9,21.4,1.8,1.2,1.6
Discraft,Talon,8.0,3.0,0.9,3.0,21.0,1.5,1.1,1.8
Discraft,Tracker,7.9,4.4,-0.5,3.3,21.2,1.7,1.2,1.3
Discraft,Undertaker,8.9,5.0,-1.0,2.1,21.1,1.9,1.2,2.0
Discraft,Vulture,9.7,4.8,-0.1,2.0,21.4,1.6,1.2,1.8
Discraft,XL,7.9,5.0,-1.0,1.9,21.1,2.1,1.2,1.7
Discraft,Xpress,7.9,4.9,-3.0,1.0,21.1,1.8,1.2,1.7
Discraft,XS,8.0,4.9,-2.0,3.0,21.1,1.8,1.2,1.8
Discraft,Xtreme,6.0,3.0,1.0,4.0,21.0,1.9,1.2,1.7
Discraft,Zombee,6.0,5.0,-1.1,1.0,21.6,2.1,1.2,1.6
Discraft,Archer,5.7,4.8,-3.3,1.0,21.4,1.8,1.2,1.2
Discraft,Buzzz,5.0,4.3,-0.7,1.0,21.7,1.9,1.3,1.2
Discraft,Buzzz GT,5.0,4.9,0.0,1.3,21.7,1.9,1.3,1.2
Discraft,Buzzz OS,5.0,3.9,0.0,3.0,21.7,1.7,1.2,1.3
Discraft,Buzzz SS,5.0,4.1,-1.9,1.0,21.6,2.1,1.3,1.3
Discraft,Comet,4.0,5.2,-1.8,0.9,21.8,2.1,1.3,1.2
Discraft,Drone,5.0,3.4,0.5,3.9,21.5,2.0,1.3,1.5
Discraft,Glide,5.9,5.0,-3.0,1.9,21.5,2.0,1.3,1.5
Discraft,Hawk,4.0,5.0,-1.8,1.9,21.5,1.8,1.2,1.2
Discraft,Hornet,5.0,4.9,0.0,3.8,21.5,1.9,1.3,1.3
Discraft,Impact,5.1,5.0,-1.9,1.9,21.6,2.0,1.3,1.3
Discraft,Malta,5.0,4.0,0.5,2.9,21.3,1.7,1.3,1.3
Discraft,Meteor,4.4,5.0,-2.8,1.0,21.5,2.0,1.3,1.3
Discraft,Nebula,5.0,4.0,-0.5,2.0,21.3,2.0,1.3,1.3
Discraft,Sol,4.1,4.8,-2.9,0.3,20.0,2.3,1.9,1.8
Discraft,Stratus,5.0,4.9,-3.0,1.0,21.4,1.8,1.2,1.2
Discraft,Wasp,5.0,4.0,0.0,2.4,21.6,1.8,1.3,1.2
Discraft,APX,2.0,3.0,-1.0,0.9,21.0,2.3,1.4,0.9
Discraft,Banger GT,2.0,3.0,0.0,1.0,21.2,2.0,1.6,1.0
Discraft,Challenger,2.0,3.0,0.0,1.9,21.0,2.2,1.6,1.0
Discraft,Challenger OS,2.9,4.8,0.0,2.6,21.1,2.0,1.5,1.0
Discraft,Challenger SS,2.0,3.9,-0.8,1.6,21.0,2.2,1.6,1.0
Discraft,Fierce,3.0,4.0,-1.9,0.0,21.0,2.3,1.4,1.0
Discraft,Focus,2.0,3.0,-1.0,1.7,21.1,2.1,1.6,1.0
Discraft,Luna,3.0,3.0,-0.1,2.3,21.1,2.0,1.4,1.1
Discraft,Magnet,2.0,3.0,-1.0,1.8,21.2,2.0,0.8,0.8
Discraft,Putt'r,2.0,3.1,-2.0,0.9,21.0,2.4,1.6,0.9
Discraft,Rattler,2.0,3.1,-1.0,1.0,21.2,2.2,1.6,0.6
Discraft,Ringer,3.0,3.8,0.0,2.0,21.0,1.8,1.2,0.9
Discraft,Ringer GT,3.0,2.9,0.0,2.8,21.1,1.7,1.1,1.0
Discraft,Roach,2.1,4.0,-0.3,1.0,21.1,2.0,1.5,1.1
Discraft,Soft Magnet,2.0,3.1,-1.0,1.8,21.2,2.0,1.4,0.8
Discraft,Zeppelin,2.5,6.0,-1.0,0.0,22.1,2.1,1.6,1.0
Discraft,Zone,3.9,3.0,0.0,3.0,21.1,2.0,1.3,1.2
Disctroyer,Starling,12.9,5.0,-2.0,2.0,21.0,1.7,1.2,2.4
Disctroyer,Stork,8.0,5.0,0.0,1.1,21.3,1.7,1.2,1.9
Disctroyer,Skylark,5.0,4.0,0.0,2.0,21.7,1.9,1.5,1.4
Disctroyer,Sparrow,3.0,3.0,0.0,2.0,21.3,1.9,1.6,1.1
Divergent-Discs,Basilisk,12.0,5.9,-5.1,0.9,21.1,2.0,1.2,2.3
